2025-08-06 11:43:01 | INFO | app.scraper.scraper:scrape_articles_with_pagination:268 | 🎉 Завершен скрапинг с пагинацией: собрано 2 статей с 5 страниц
2025-08-06 11:43:24 | INFO | app.db.database:init_db:50 | ✅ База данных инициализирована
2025-08-06 11:43:25 | INFO | app.db.database:init_db:50 | ✅ База данных инициализирована
2025-08-06 11:43:25 | INFO | app.scraper.scraper:scrape_single_page:175 | 📄 Скрапинг страницы 1 (попытка 1/3): https://www.ft.com/world
2025-08-06 11:43:25 | INFO | app.scraper.scraper:scrape_single_page:206 | 🔍 Найдено 1 элементов статей на странице 1
2025-08-06 11:43:25 | INFO | app.scraper.scraper:scrape_single_page:218 | ✅ Успешно извлечено 1 статей со страницы 1
2025-08-06 11:43:25 | INFO | app.scraper.scraper:save_articles_to_db:328 | 📦 Обработан batch: сохранено 1 статей
2025-08-06 11:43:25 | INFO | app.scraper.scraper:save_articles_to_db:338 | ✅ Итого сохранено 1 новых статей в базу данных
2025-08-06 11:43:25 | INFO | app.scheduler.scheduler:initial_scrape_job:22 | 🔄 Запуск задачи первоначального скрапинга...
2025-08-06 11:43:25 | INFO | app.scheduler.scheduler:initial_scrape_job:24 | ✅ Задача первоначального скрапинга завершена
2025-08-06 11:43:25 | INFO | app.scheduler.scheduler:hourly_scrape_job:31 | ⏰ Запуск почасовой задачи скрапинга...
2025-08-06 11:43:25 | INFO | app.scheduler.scheduler:hourly_scrape_job:33 | ✅ Почасовая задача скрапинга завершена
2025-08-06 11:43:25 | INFO | app.scheduler.scheduler:adaptive_scrape_job:40 | 🤖 Запуск адаптивной задачи скрапинга...
2025-08-06 11:43:25 | INFO | app.scheduler.scheduler:adaptive_scrape_job:42 | ✅ Адаптивная задача скрапинга завершена
2025-08-06 11:43:25 | INFO | app.main:main:35 | 🚀 Запуск Financial Times скрапера...
2025-08-06 11:43:25 | INFO | app.main:main:38 | 📊 Инициализация базы данных...
2025-08-06 11:43:25 | INFO | app.main:main:42 | ⏰ Запуск планировщика...
2025-08-06 11:43:25 | INFO | app.main:main:47 | ⏹️ Получен сигнал остановки...
2025-08-06 11:43:25 | INFO | app.main:main:52 | 🔌 Закрытие подключений к базе данных...
2025-08-06 11:43:25 | INFO | app.main:main:54 | ✅ Приложение завершено
2025-08-06 11:43:25 | INFO | app.main:main:35 | 🚀 Запуск Financial Times скрапера...
2025-08-06 11:43:25 | INFO | app.main:main:38 | 📊 Инициализация базы данных...
2025-08-06 11:43:25 | ERROR | app.main:main:49 | ❌ Критическая ошибка: Database init failed
2025-08-06 11:43:25 | INFO | app.main:main:52 | 🔌 Закрытие подключений к базе данных...
2025-08-06 11:43:25 | INFO | app.main:main:54 | ✅ Приложение завершено
2025-08-06 11:43:25 | INFO | app.scraper.scraper:is_first_run:82 | 📊 Статей в базе: 0, первый запуск: True
2025-08-06 11:43:25 | INFO | app.scraper.scraper:run_initial_scraping:388 | 🔄 Принудительный сбор статей за 30 дней...
2025-08-06 11:43:25 | INFO | app.scraper.scraper:save_articles_to_db:328 | 📦 Обработан batch: сохранено 1 статей
2025-08-06 11:43:25 | INFO | app.scraper.scraper:save_articles_to_db:338 | ✅ Итого сохранено 1 новых статей в базу данных
2025-08-06 11:43:25 | INFO | app.scraper.scraper:run_initial_scraping:400 | 🎉 Принудительный сбор завершен! Обработано: 1, сохранено: 1
2025-08-06 11:43:25 | INFO | app.scraper.scraper:is_first_run:82 | 📊 Статей в базе: 1, первый запуск: False
2025-08-06 11:43:25 | INFO | app.scraper.scraper:run_hourly_scraping:410 | ⏱️ Сбор новых статей за последний час...
2025-08-06 11:43:26 | INFO | app.scraper.scraper:run_scraping:347 | 🚀 Запуск скрапинга Financial Times...
2025-08-06 11:43:26 | ERROR | app.scraper.scraper:run_scraping:380 | ❌ Критическая ошибка скрапинга: Browser failed
2025-08-06 11:43:26 | INFO | app.scheduler.scheduler:start:49 | ⚡ Запуск планировщика задач...
2025-08-06 11:43:26 | ERROR | app.scheduler.scheduler:start:99 | ❌ Ошибка планировщика: DB connection failed
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:initial_scrape_job:22 | 🔄 Запуск задачи первоначального скрапинга...
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:initial_scrape_job:24 | ✅ Задача первоначального скрапинга завершена
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:initial_scrape_job:22 | 🔄 Запуск задачи первоначального скрапинга...
2025-08-06 11:43:27 | ERROR | app.scheduler.scheduler:initial_scrape_job:26 | ❌ Ошибка в задаче первоначального скрапинга: Test error
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:hourly_scrape_job:31 | ⏰ Запуск почасовой задачи скрапинга...
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:hourly_scrape_job:33 | ✅ Почасовая задача скрапинга завершена
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:hourly_scrape_job:31 | ⏰ Запуск почасовой задачи скрапинга...
2025-08-06 11:43:27 | ERROR | app.scheduler.scheduler:hourly_scrape_job:35 | ❌ Ошибка в почасовой задаче скрапинга: Test error
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:adaptive_scrape_job:40 | 🤖 Запуск адаптивной задачи скрапинга...
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:adaptive_scrape_job:42 | ✅ Адаптивная задача скрапинга завершена
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:adaptive_scrape_job:40 | 🤖 Запуск адаптивной задачи скрапинга...
2025-08-06 11:43:27 | ERROR | app.scheduler.scheduler:adaptive_scrape_job:44 | ❌ Ошибка в адаптивной задаче скрапинга: Test error
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:start_manual_mode:105 | 🔧 Запуск в ручном режиме...
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:adaptive_scrape_job:40 | 🤖 Запуск адаптивной задачи скрапинга...
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:adaptive_scrape_job:42 | ✅ Адаптивная задача скрапинга завершена
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:start_manual_mode:105 | 🔧 Запуск в ручном режиме...
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:adaptive_scrape_job:40 | 🤖 Запуск адаптивной задачи скрапинга...
2025-08-06 11:43:27 | ERROR | app.scheduler.scheduler:adaptive_scrape_job:44 | ❌ Ошибка в адаптивной задаче скрапинга: Test error
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:start:49 | ⚡ Запуск планировщика задач...
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:start:55 | 🆕 Первый запуск - начинаем сбор за 30 дней...
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:initial_scrape_job:22 | 🔄 Запуск задачи первоначального скрапинга...
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:initial_scrape_job:24 | ✅ Задача первоначального скрапинга завершена
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:start:60 | ⏰ Настройка почасового режима для будущих запусков...
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:start:71 | ✅ Планировщик запущен в почасовом режиме (каждый час)
2025-08-06 11:43:27 | INFO | app.scheduler.scheduler:start:96 | ⏹️ Получен сигнал остановки планировщика...
